22: Latvia, daily cases: +632, daily deaths: +9, population: 1,871,599, daily cases ratio: 337.67917166016866, daily deaths ratio: 4.808722381236579
23: Greece, daily cases: +2,357, daily deaths: +49, population: 10,387,498, daily cases ratio: 226.90738424209565, daily deaths ratio: 4.717209091159392
24: Chile, daily cases: +5,973, daily deaths: +89, population: 19,230,141, daily cases ratio: 310.6061468816063, daily deaths ratio: 4.628151192443155
25: USA, daily cases: +66,785, daily deaths: +1,505, population: 332,352,077, daily cases ratio: 200.9465401956853, daily deaths ratio: 4.5283303585312025
26: France, daily cases: +25,229, daily deaths: +254, population: 65,374,087, daily cases ratio: 385.91743545114446, daily deaths ratio: 3.885331507574248
27: Slovenia, daily cases: +770, daily deaths: +8, population: 2,079,137, daily cases ratio: 370.3459656578667, daily deaths ratio: 3.847750292549265
28: Lithuania, daily cases: +364, daily deaths: +10, population: 2,695,669, daily cases ratio: 135.0314152071341, daily deaths ratio: 3.709654263932256
29: Spain, daily cases: +5,348, daily deaths: +173, population: 46,767,398, daily cases ratio: 114.35316542519642, daily deaths ratio: 3.6991581186535116
30: Austria, daily cases: +3,126, daily deaths: +33, population: 9,042,127, daily cases ratio: 345.71511769299417, daily deaths ratio: 3.6495837760296888
31: Ecuador, daily cases: +1,259, daily deaths: +65, population: 17,828,490, daily cases ratio: 70.61730971046903, daily deaths ratio: 3.6458499850520147
32: Paraguay, daily cases: +1,766, daily deaths: +25, population: 7,193,267, daily cases ratio: 245.50736125879936, daily deaths ratio: 3.4754722715005575
33: Sweden, daily cases: None, daily deaths: +35, population: 10,143,038, daily cases ratio: 0, daily deaths ratio: 3.450642696990783
34: Russia, daily cases: +9,794, daily deaths: +486, population: 145,978,069, daily cases ratio: 67.0922698669209, daily deaths ratio: 3.3292672202699163
35: Palestine, daily cases: +1,983, daily deaths: +17, population: 5,183,161, daily cases ratio: 382.58506729773586, daily deaths ratio: 3.279851812436465
36: Georgia, daily cases: +332, daily deaths: +12, population: 3,983,826, daily cases ratio: 83.33697305052982, daily deaths ratio: 3.0121797488143307
37: Serbia, daily cases: +4,668, daily deaths: +26, population: 8,712,801, daily cases ratio: 535.7634129368959, daily deaths ratio: 2.984114982082111
38: Croatia, daily cases: +823, daily deaths: +12, population: 4,087,578, daily cases ratio: 201.34172363194048, daily deaths ratio: 2.935723795362437
39: Germany, daily cases: +12,786, daily deaths: +230, population: 83,970,413, daily cases ratio: 152.26791846313773, daily deaths ratio: 2.7390600067669073
40: UK, daily cases: +6,609, daily deaths: +175, population: 68,134,001, daily cases ratio: 97.00002793025467, daily deaths ratio: 2.5684679812066227
41: Namibia, daily cases: +179, daily deaths: +6, population: 2,572,709, daily cases ratio: 69.57646589645388, daily deaths ratio: 2.3321720412219182
42: Panama, daily cases: +451, daily deaths: +9, population: 4,361,767, daily cases ratio: 103.39846213701925, daily deaths ratio: 2.063383945084641
43: Belgium, daily cases: +3,503, daily deaths: +23, population: 11,624,713, daily cases ratio: 301.34077288617794, daily deaths ratio: 1.9785434702775029
44: Argentina, daily cases: +7,849, daily deaths: +85, population: 45,483,666, daily cases ratio: 172.56744432166042, daily deaths ratio: 1.868802747782028
45: Kuwait, daily cases: +1,356, daily deaths: +8, population: 4,314,295, daily cases ratio: 314.30395927955783, daily deaths ratio: 1.8543006447171555
46: Ireland, daily cases: +641, daily deaths: +9, population: 4,976,038, daily cases ratio: 128.81734424053835, daily deaths ratio: 1.8086678598515527
47: Colombia, daily cases: +4,078, daily deaths: +92, population: 51,259,107, daily cases ratio: 79.55659469448034, daily deaths ratio: 1.7948030191005864
48: Uruguay, daily cases: +1,357, daily deaths: +6, population: 3,482,108, daily cases ratio: 389.70646516420516, daily deaths ratio: 1.7230941716914008
49: Jamaica, daily cases: +419, daily deaths: +5, population: 2,970,159, daily cases ratio: 141.06988885106824, daily deaths ratio: 1.6834115614685947
50: Cyprus, daily cases: +383, daily deaths: +2, population: 1,213,465, daily cases ratio: 315.6250901344497, daily deaths ratio: 1.6481727944357687
51: Bolivia, daily cases: +778, daily deaths: +19, population: 11,783,318, daily cases ratio: 66.0255456060848, daily deaths ratio: 1.6124490572180092
52: Switzerland, daily cases: +1,333, daily deaths: +14, population: 8,698,595, daily cases ratio: 153.24313869078858, daily deaths ratio: 1.6094553200833008
53: Netherlands, daily cases: +6,026, daily deaths: +26, population: 17,161,273, daily cases ratio: 351.1394521839959, daily deaths ratio: 1.515039123263175
54: Portugal, daily cases: +577, daily deaths: +15, population: 10,175,962, daily cases ratio: 56.702255767071456, daily deaths ratio: 1.474062108329414
55: Israel, daily cases: +1,948, daily deaths: +13, population: 9,197,590 , daily cases ratio: 211.79461141451182, daily deaths ratio: 1.4134137312056745
56: Armenia, daily cases: +818, daily deaths: +4, population: 2,967,100, daily cases ratio: 275.690067742914, daily deaths ratio: 1.348117690674396
57: Tunisia, daily cases: +640, daily deaths: +16, population: 11,904,413, daily cases ratio: 53.76157564425898, daily deaths ratio: 1.3440393911064745
58: Libya, daily cases: +972, daily deaths: +8, population: 6,936,016, daily cases ratio: 140.1380850332525, daily deaths ratio: 1.1533998768168932
59: South Africa, daily cases: +1,225, daily deaths: +69, population: 59,826,923, daily cases ratio: 20.475731302443883, daily deaths ratio: 1.1533269060152065
60: Bahrain, daily cases: +744, daily deaths: +2, population: 1,742,099, daily cases ratio: 427.07102179612065, daily deaths ratio: 1.1480403811723674
61: Honduras, daily cases: +985, daily deaths: +10, population: 10,013,604, daily cases ratio: 98.36618264512957, daily deaths ratio: 0.9986414481739042
62: UAE, daily cases: +2,250, daily deaths: +9, population: 9,973,240, daily cases ratio: 225.6037155427925, daily deaths ratio: 0.9024148621711701
63: Canada, daily cases: +3,476, daily deaths: +33, population: 37,971,911, daily cases ratio: 91.54135013115354, daily deaths ratio: 0.869063450612217
64: Belarus, daily cases: +1,186, daily deaths: +8, population: 9,447,156, daily cases ratio: 125.54042719311505, daily deaths ratio: 0.8468156977613157
65: Guatemala, daily cases: +831, daily deaths: +15, population: 18,144,574, daily cases ratio: 45.79881566797876, daily deaths ratio: 0.8266934236097249
66: Dominican Republic, daily cases: +529, daily deaths: +9, population: 10,923,394, daily cases ratio: 48.42817168363606, daily deaths ratio: 0.8239197450902165
67: Philippines, daily cases: +4,571, daily deaths: +87, population: 110,591,530, daily cases ratio: 41.33227924416997, daily deaths ratio: 0.7866786904928433
68: Turkey, daily cases: +14,941, daily deaths: +66, population: 84,968,579, daily cases ratio: 175.84147193988028, daily deaths ratio: 0.7767577235815606
69: El Salvador, daily cases: +133, daily deaths: +5, population: 6,508,966, daily cases ratio: 20.433353008757457, daily deaths ratio: 0.7681711657427617
70: Indonesia, daily cases: +6,412, daily deaths: +180, population: 275,530,076, daily cases ratio: 23.271506664847724, daily deaths ratio: 0.6532862132989068
71: Iran, daily cases: +8,088, daily deaths: +53, population: 84,737,946, daily cases ratio: 95.44720378282476, daily deaths ratio: 0.6254576904660871
72: Iraq, daily cases: +4,622, daily deaths: +25, population: 40,844,935, daily cases ratio: 113.15968552771598, daily deaths ratio: 0.6120709948491778
73: Kyrgyzstan, daily cases: +63, daily deaths: +4, population: 6,598,650, daily cases ratio: 9.547407424245868, daily deaths ratio: 0.6061845983648171
74: Azerbaijan, daily cases: +576, daily deaths: +6, population: 10,202,622, daily cases ratio: 56.456075702892846, daily deaths ratio: 0.5880841219051338
75: Senegal, daily cases: +198, daily deaths: +10, population: 17,047,593, daily cases ratio: 11.614542885907706, daily deaths ratio: 0.5865930750458438
76: Costa Rica, daily cases: +376, daily deaths: +3, population: 5,126,410, daily cases ratio: 73.34567465341243, daily deaths ratio: 0.5852048509580778
77: Finland, daily cases: +706, daily deaths: +3, population: 5,546,715, daily cases ratio: 127.28254471340244, daily deaths ratio: 0.5408606715866959
78: Denmark, daily cases: +645, daily deaths: +3, population: 5,806,397, daily cases ratio: 111.08437814362331, daily deaths ratio: 0.5166715262494108
79: Egypt, daily cases: +639, daily deaths: +45, population: 103,667,896, daily cases ratio: 6.163914043360155, daily deaths ratio: 0.43407845375775733
80: Yemen, daily cases: +62, daily deaths: +12, population: 30,279,066, daily cases ratio: 2.047619302391956, daily deaths ratio: 0.3963134133661851
81: Japan, daily cases: +1,288, daily deaths: +49, population: 126,206,260, daily cases ratio: 10.205515954596864, daily deaths ratio: 0.3882533243596633
82: Qatar, daily cases: +455, daily deaths: +1, population: 2,807,805 , daily cases ratio: 162.04829039053638, daily deaths ratio: 0.35615008877040966
83: Cuba, daily cases: +762, daily deaths: +4, population: 11,321,796, daily cases ratio: 67.3038093956118, daily deaths ratio: 0.3533008367223716
84: Syria, daily cases: +71, daily deaths: +5, population: 17,793,554, daily cases ratio: 3.990209038621514, daily deaths ratio: 0.28100063652264184
85: Zimbabwe, daily cases: +46, daily deaths: +4, population: 15,012,729, daily cases ratio: 3.0640664998349068, daily deaths ratio: 0.2664405652030354
86: Mozambique, daily cases: +359, daily deaths: +8, population: 31,857,555, daily cases ratio: 11.268912507566887, daily deaths ratio: 0.2511178274666716
87: Venezuela, daily cases: +509, daily deaths: +7, population: 28,379,718, daily cases ratio: 17.935343825474234, daily deaths ratio: 0.24665502314011714
88: Pakistan, daily cases: +2,701, daily deaths: +53, population: 223,854,800, daily cases ratio: 12.06585697514639, daily deaths ratio: 0.23676061446973665
89: Sri Lanka, daily cases: +297, daily deaths: +5, population: 21,475,715, daily cases ratio: 13.829574475168814, daily deaths ratio: 0.2328211191105861
90: Ethiopia, daily cases: +1,361, daily deaths: +27, population: 116,925,005, daily cases ratio: 11.639939634811219, daily deaths ratio: 0.23091724477582876
91: S. Korea, daily cases: +488, daily deaths: +10, population: 51,299,927, daily cases ratio: 9.512684101870164, daily deaths ratio: 0.19493205126783125
92: Rwanda, daily cases: +112, daily deaths: +2, population: 13,173,363, daily cases ratio: 8.502005144775863, daily deaths ratio: 0.15182152044242614
93: Saudi Arabia, daily cases: +360, daily deaths: +5, population: 35,189,073, daily cases ratio: 10.230448525881883, daily deaths ratio: 0.1420895628594706
94: India, daily cases: +27,512, daily deaths: +157, population: 1,389,419,783, daily cases ratio: 19.801071164106204, daily deaths ratio: 0.11299680767536617
95: Morocco, daily cases: +431, daily deaths: +4, population: 37,213,872, daily cases ratio: 11.581702651097418, daily deaths ratio: 0.10748679954614773
96: Malaysia, daily cases: +1,575, daily deaths: +3, population: 32,653,364, daily cases ratio: 48.23392775090493, daily deaths ratio: 0.09187414809696176
97: Bangladesh, daily cases: +1,066, daily deaths: +13, population: 165,827,934, daily cases ratio: 6.428350002840897, daily deaths ratio: 0.07839451222976702
98: Afghanistan, daily cases: +17, daily deaths: +3, population: 39,532,913, daily cases ratio: 0.4300214355567473, daily deaths ratio: 0.07588613568648482
99: Ivory Coast, daily cases: +313, daily deaths: +2, population: 26,828,189, daily cases ratio: 11.66683297184167, daily deaths ratio: 0.07454845349419598
100: Algeria, daily cases: +157, daily deaths: +3, population: 44,398,335, daily cases ratio: 3.5361686423601246, daily deaths ratio: 0.06757010144637181
101: Chad, daily cases: +28, daily deaths: +1, population: 16,749,845, daily cases ratio: 1.6716572601119593, daily deaths ratio: 0.05970204500399855
102: Angola, daily cases: +60, daily deaths: +2, population: 33,568,110, daily cases ratio: 1.7874107300053532, daily deaths ratio: 0.05958035766684511
103: Zambia, daily cases: +327, daily deaths: +1, population: 18,737,978, daily cases ratio: 17.45118923717383, daily deaths ratio: 0.05336755118401783
104: Malawi, daily cases: +73, daily deaths: +1, population: 19,470,243, daily cases ratio: 3.749311192469452, daily deaths ratio: 0.05136042729410208
105: Mali, daily cases: +31, daily deaths: +1, population: 20,651,739, daily cases ratio: 1.5010842428330127, daily deaths ratio: 0.048422072349452026
106: Burkina Faso, daily cases: +30, daily deaths: +1, population: 21,297,525, daily cases ratio: 1.4086143812485252, daily deaths ratio: 0.04695381270828418
107: Nigeria, daily cases: +399, daily deaths: +8, population: 209,658,679, daily cases ratio: 1.9030931698277085, daily deaths ratio: 0.03815725653789891
108: Kenya, daily cases: +750, daily deaths: +2, population: 54,588,274, daily cases ratio: 13.73921439611738, daily deaths ratio: 0.03663790505631301
109: China, daily cases: +9, daily deaths: None, population: 1,439,323,776 , daily cases ratio: 0.0062529363789235425, daily deaths ratio: 0
110: Nepal, daily cases: +48, daily deaths: None, population: 29,499,030, daily cases ratio: 1.627172147694348, daily deaths ratio: 0
111: Kazakhstan, daily cases: +899, daily deaths: None, population: 18,932,409, daily cases ratio: 47.484712589929785, daily deaths ratio: 0
112: Oman, daily cases: None, daily deaths: None, population: 5,196,050, daily cases ratio: 0, daily deaths ratio: 0
113: Myanmar, daily cases: +8, daily deaths: None, population: 54,663,290, daily cases ratio: 0.14635050323535226, daily deaths ratio: 0
114: Ghana, daily cases: None, daily deaths: None, population: 31,520,596, daily cases ratio: 0, daily deaths ratio: 0
115: Uzbekistan, daily cases: +45, daily deaths: None, population: 33,805,059, daily cases ratio: 1.3311617057080125, daily deaths ratio: 0
116: Norway, daily cases: +905, daily deaths: None, population: 5,450,686, daily cases ratio: 166.03414689453768, daily deaths ratio: 0
117: Cameroon, daily cases: None, daily deaths: None, population: 27,000,972, daily cases ratio: 0, daily deaths ratio: 0
118: Uganda, daily cases: +9, daily deaths: None, population: 46,732,418, daily cases ratio: 0.19258579772182985, daily deaths ratio: 0
119: Botswana, daily cases: None, daily deaths: None, population: 2,384,409, daily cases ratio: 0, daily deaths ratio: 0
120: Australia, daily cases: +12, daily deaths: None, population: 25,705,031, daily cases ratio: 0.46683468306262693, daily deaths ratio: 0
121: Sudan, daily cases: None, daily deaths: None, population: 44,554,963, daily cases ratio: 0, daily deaths ratio: 0
122: DRC, daily cases: +87, daily deaths: None, population: 91,431,296, daily cases ratio: 0.9515341442825004, daily deaths ratio: 0
123: Madagascar, daily cases: None, daily deaths: None, population: 28,181,106, daily cases ratio: 0, daily deaths ratio: 0
124: Mayotte, daily cases: +38, daily deaths: None, population: 277,350, daily cases ratio: 137.01099693528033, daily deaths ratio: 0
125: French Polynesia, daily cases: +10, daily deaths: None, population: 282,037, daily cases ratio: 35.456340834713174, daily deaths ratio: 0
126: Mauritania, daily cases: +16, daily deaths: None, population: 4,733,772, daily cases ratio: 3.379968447994538, daily deaths ratio: 0
127: Eswatini, daily cases: +10, daily deaths: None, population: 1,168,498, daily cases ratio: 8.557994964475764, daily deaths ratio: 0
128: Cabo Verde, daily cases: +54, daily deaths: None, population: 560,176, daily cases ratio: 96.39827482791122, daily deaths ratio: 0
129: Haiti, daily cases: +38, daily deaths: None, population: 11,498,882, daily cases ratio: 3.3046690973957293, daily deaths ratio: 0
130: Belize, daily cases: +11, daily deaths: None, population: 402,617, daily cases ratio: 27.32125071718283, daily deaths ratio: 0
131: Hong Kong, daily cases: +60, daily deaths: None, population: 7,539,223, daily cases ratio: 7.958379795902045, daily deaths ratio: 0
132: Andorra, daily cases: +69, daily deaths: None, population: 77,351, daily cases ratio: 892.0375948597949, daily deaths ratio: 0
133: Guadeloupe, daily cases: None, daily deaths: None, population: 400,172, daily cases ratio: 0, daily deaths ratio: 0
134: Lesotho, daily cases: None, daily deaths: None, population: 2,154,044, daily cases ratio: 0, daily deaths ratio: 0
135: Congo, daily cases: None, daily deaths: None, population: 5,611,646, daily cases ratio: 0, daily deaths ratio: 0
136: Guyana, daily cases: +76, daily deaths: None, population: 789,192, daily cases ratio: 96.30102687305497, daily deaths ratio: 0
137: Suriname, daily cases: +15, daily deaths: None, population: 590,281, daily cases ratio: 25.411625988300486, daily deaths ratio: 0
138: Somalia, daily cases: None, daily deaths: None, population: 16,198,132, daily cases ratio: 0, daily deaths ratio: 0
139: Bahamas, daily cases: +16, daily deaths: None, population: 395,852, daily cases ratio: 40.4191465497206, daily deaths ratio: 0
140: Trinidad and Tobago, daily cases: +6, daily deaths: None, population: 1,402,642, daily cases ratio: 4.277641764612781, daily deaths ratio: 0
141: Nicaragua, daily cases: None, daily deaths: None, population: 6,679,195, daily cases ratio: 0, daily deaths ratio: 0
142: Gambia, daily cases: +88, daily deaths: None, population: 2,463,350, daily cases ratio: 35.723709582479145, daily deaths ratio: 0
143: Niger, daily cases: None, daily deaths: None, population: 24,806,536, daily cases ratio: 0, daily deaths ratio: 0
144: Comoros, daily cases: +3, daily deaths: None, population: 882,383, daily cases ratio: 3.3998841772790276, daily deaths ratio: 0
