76: Iraq, daily cases: +4,622, daily deaths: +25, population: 40,844,935, daily cases ratio: 113.15968552771598, daily deaths ratio: 0.6120709948491778
77: Kyrgyzstan, daily cases: +63, daily deaths: +4, population: 6,598,650, daily cases ratio: 9.547407424245868, daily deaths ratio: 0.6061845983648171
78: Azerbaijan, daily cases: +576, daily deaths: +6, population: 10,202,622, daily cases ratio: 56.456075702892846, daily deaths ratio: 0.5880841219051338
79: Senegal, daily cases: +198, daily deaths: +10, population: 17,047,593, daily cases ratio: 11.614542885907706, daily deaths ratio: 0.5865930750458438
80: Costa Rica, daily cases: +376, daily deaths: +3, population: 5,126,410, daily cases ratio: 73.34567465341243, daily deaths ratio: 0.5852048509580778
81: Finland, daily cases: +706, daily deaths: +3, population: 5,546,715, daily cases ratio: 127.28254471340244, daily deaths ratio: 0.5408606715866959
82: Denmark, daily cases: +645, daily deaths: +3, population: 5,806,397, daily cases ratio: 111.08437814362331, daily deaths ratio: 0.5166715262494108
83: Guinea-Bissau, daily cases: +18, daily deaths: +1, population: 2,000,058, daily cases ratio: 8.999739007568781, daily deaths ratio: 0.4999855004204878
84: Egypt, daily cases: +639, daily deaths: +45, population: 103,667,896, daily cases ratio: 6.163914043360155, daily deaths ratio: 0.43407845375775733
85: Yemen, daily cases: +62, daily deaths: +12, population: 30,279,066, daily cases ratio: 2.047619302391956, daily deaths ratio: 0.3963134133661851
86: Japan, daily cases: +1,288, daily deaths: +49, population: 126,206,260, daily cases ratio: 10.205515954596864, daily deaths ratio: 0.3882533243596633
87: Qatar, daily cases: +455, daily deaths: +1, population: 2,807,805 , daily cases ratio: 162.04829039053638, daily deaths ratio: 0.35615008877040966
88: Cuba, daily cases: +762, daily deaths: +4, population: 11,321,796, daily cases ratio: 67.3038093956118, daily deaths ratio: 0.3533008367223716
89: Syria, daily cases: +71, daily deaths: +5, population: 17,793,554, daily cases ratio: 3.990209038621514, daily deaths ratio: 0.28100063652264184
90: Zimbabwe, daily cases: +46, daily deaths: +4, population: 15,012,729, daily cases ratio: 3.0640664998349068, daily deaths ratio: 0.2664405652030354
91: Mozambique, daily cases: +359, daily deaths: +8, population: 31,857,555, daily cases ratio: 11.268912507566887, daily deaths ratio: 0.2511178274666716
92: Venezuela, daily cases: +509, daily deaths: +7, population: 28,379,718, daily cases ratio: 17.935343825474234, daily deaths ratio: 0.24665502314011714
93: Pakistan, daily cases: +2,701, daily deaths: +53, population: 223,854,800, daily cases ratio: 12.06585697514639, daily deaths ratio: 0.23676061446973665
94: Sri Lanka, daily cases: +297, daily deaths: +5, population: 21,475,715, daily cases ratio: 13.829574475168814, daily deaths ratio: 0.2328211191105861
95: Ethiopia, daily cases: +1,361, daily deaths: +27, population: 116,925,005, daily cases ratio: 11.639939634811219, daily deaths ratio: 0.23091724477582876
96: S. Korea, daily cases: +488, daily deaths: +10, population: 51,299,927, daily cases ratio: 9.512684101870164, daily deaths ratio: 0.19493205126783125
97: Rwanda, daily cases: +112, daily deaths: +2, population: 13,173,363, daily cases ratio: 8.502005144775863, daily deaths ratio: 0.15182152044242614
98: Saudi Arabia, daily cases: +360, daily deaths: +5, population: 35,189,073, daily cases ratio: 10.230448525881883, daily deaths ratio: 0.1420895628594706
99: India, daily cases: +27,512, daily deaths: +157, population: 1,389,419,783, daily cases ratio: 19.801071164106204, daily deaths ratio: 0.11299680767536617
100: Morocco, daily cases: +431, daily deaths: +4, population: 37,213,872, daily cases ratio: 11.581702651097418, daily deaths ratio: 0.10748679954614773
101: Malaysia, daily cases: +1,575, daily deaths: +3, population: 32,653,364, daily cases ratio: 48.23392775090493, daily deaths ratio: 0.09187414809696176
102: South Sudan, daily cases: +129, daily deaths: +1, population: 11,284,716, daily cases ratio: 11.431390918477701, daily deaths ratio: 0.08861543347657132
103: Bangladesh, daily cases: +1,066, daily deaths: +13, population: 165,827,934, daily cases ratio: 6.428350002840897, daily deaths ratio: 0.07839451222976702
104: Afghanistan, daily cases: +17, daily deaths: +3, population: 39,532,913, daily cases ratio: 0.4300214355567473, daily deaths ratio: 0.07588613568648482
105: Guinea, daily cases: +220, daily deaths: +1, population: 13,377,852, daily cases ratio: 16.445091484043925, daily deaths ratio: 0.0747504158365633
106: Ivory Coast, daily cases: +313, daily deaths: +2, population: 26,828,189, daily cases ratio: 11.66683297184167, daily deaths ratio: 0.07454845349419598
107: Algeria, daily cases: +157, daily deaths: +3, population: 44,398,335, daily cases ratio: 3.5361686423601246, daily deaths ratio: 0.06757010144637181
108: Chad, daily cases: +28, daily deaths: +1, population: 16,749,845, daily cases ratio: 1.6716572601119593, daily deaths ratio: 0.05970204500399855
109: Angola, daily cases: +60, daily deaths: +2, population: 33,568,110, daily cases ratio: 1.7874107300053532, daily deaths ratio: 0.05958035766684511
110: Zambia, daily cases: +327, daily deaths: +1, population: 18,737,978, daily cases ratio: 17.45118923717383, daily deaths ratio: 0.05336755118401783
111: Malawi, daily cases: +73, daily deaths: +1, population: 19,470,243, daily cases ratio: 3.749311192469452, daily deaths ratio: 0.05136042729410208
112: Mali, daily cases: +31, daily deaths: +1, population: 20,651,739, daily cases ratio: 1.5010842428330127, daily deaths ratio: 0.048422072349452026
113: Burkina Faso, daily cases: +30, daily deaths: +1, population: 21,297,525, daily cases ratio: 1.4086143812485252, daily deaths ratio: 0.04695381270828418
114: Nigeria, daily cases: +399, daily deaths: +8, population: 209,658,679, daily cases ratio: 1.9030931698277085, daily deaths ratio: 0.03815725653789891
115: Kenya, daily cases: +750, daily deaths: +2, population: 54,588,274, daily cases ratio: 13.73921439611738, daily deaths ratio: 0.03663790505631301
116: China, daily cases: +9, daily deaths: None, population: 1,439,323,776 , daily cases ratio: 0.0062529363789235425, daily deaths ratio: 0
117: Nepal, daily cases: +48, daily deaths: None, population: 29,499,030, daily cases ratio: 1.627172147694348, daily deaths ratio: 0
118: Kazakhstan, daily cases: +899, daily deaths: None, population: 18,932,409, daily cases ratio: 47.484712589929785, daily deaths ratio: 0
119: Oman, daily cases: None, daily deaths: None, population: 5,196,050, daily cases ratio: 0, daily deaths ratio: 0
120: Myanmar, daily cases: +8, daily deaths: None, population: 54,663,290, daily cases ratio: 0.14635050323535226, daily deaths ratio: 0
121: Ghana, daily cases: None, daily deaths: None, population: 31,520,596, daily cases ratio: 0, daily deaths ratio: 0
122: Uzbekistan, daily cases: +45, daily deaths: None, population: 33,805,059, daily cases ratio: 1.3311617057080125, daily deaths ratio: 0
123: Norway, daily cases: +905, daily deaths: None, population: 5,450,686, daily cases ratio: 166.03414689453768, daily deaths ratio: 0
124: Singapore, daily cases: +10, daily deaths: None, population: 5,882,301, daily cases ratio: 1.7000150111325483, daily deaths ratio: 0
125: Cameroon, daily cases: None, daily deaths: None, population: 27,000,972, daily cases ratio: 0, daily deaths ratio: 0
126: Uganda, daily cases: +9, daily deaths: None, population: 46,732,418, daily cases ratio: 0.19258579772182985, daily deaths ratio: 0
127: Botswana, daily cases: None, daily deaths: None, population: 2,384,409, daily cases ratio: 0, daily deaths ratio: 0
128: Australia, daily cases: +12, daily deaths: None, population: 25,705,031, daily cases ratio: 0.46683468306262693, daily deaths ratio: 0
129: Sudan, daily cases: None, daily deaths: None, population: 44,554,963, daily cases ratio: 0, daily deaths ratio: 0
130: DRC, daily cases: +87, daily deaths: None, population: 91,431,296, daily cases ratio: 0.9515341442825004, daily deaths ratio: 0
131: Thailand, daily cases: +81, daily deaths: None, population: 69,921,924, daily cases ratio: 1.158434942379446, daily deaths ratio: 0
132: Maldives, daily cases: +114, daily deaths: None, population: 547,126, daily cases ratio: 208.3615108768364, daily deaths ratio: 0
133: Madagascar, daily cases: None, daily deaths: None, population: 28,181,106, daily cases ratio: 0, daily deaths ratio: 0
134: Mayotte, daily cases: +38, daily deaths: None, population: 277,350, daily cases ratio: 137.01099693528033, daily deaths ratio: 0
135: French Polynesia, daily cases: +10, daily deaths: None, population: 282,037, daily cases ratio: 35.456340834713174, daily deaths ratio: 0
136: Mauritania, daily cases: +16, daily deaths: None, population: 4,733,772, daily cases ratio: 3.379968447994538, daily deaths ratio: 0
137: Eswatini, daily cases: +10, daily deaths: None, population: 1,168,498, daily cases ratio: 8.557994964475764, daily deaths ratio: 0
138: French Guiana, daily cases: +71, daily deaths: None, population: 304,011, daily cases ratio: 233.54418096713604, daily deaths ratio: 0
139: Cabo Verde, daily cases: +54, daily deaths: None, population: 560,176, daily cases ratio: 96.39827482791122, daily deaths ratio: 0
140: Réunion, daily cases: None, daily deaths: None, population: 899,752, daily cases ratio: 0, daily deaths ratio: 0
141: Tajikistan, daily cases: None, daily deaths: None, population: 9,685,375, daily cases ratio: 0, daily deaths ratio: 0
142: Haiti, daily cases: +38, daily deaths: None, population: 11,498,882, daily cases ratio: 3.3046690973957293, daily deaths ratio: 0
143: Belize, daily cases: +11, daily deaths: None, population: 402,617, daily cases ratio: 27.32125071718283, daily deaths ratio: 0
144: Hong Kong, daily cases: +60, daily deaths: None, population: 7,539,223, daily cases ratio: 7.958379795902045, daily deaths ratio: 0
145: Andorra, daily cases: +69, daily deaths: None, population: 77,351, daily cases ratio: 892.0375948597949, daily deaths ratio: 0
146: Guadeloupe, daily cases: None, daily deaths: None, population: 400,172, daily cases ratio: 0, daily deaths ratio: 0
147: Lesotho, daily cases: None, daily deaths: None, population: 2,154,044, daily cases ratio: 0, daily deaths ratio: 0
148: Congo, daily cases: None, daily deaths: None, population: 5,611,646, daily cases ratio: 0, daily deaths ratio: 0
149: Guyana, daily cases: +76, daily deaths: None, population: 789,192, daily cases ratio: 96.30102687305497, daily deaths ratio: 0
150: Suriname, daily cases: +15, daily deaths: None, population: 590,281, daily cases ratio: 25.411625988300486, daily deaths ratio: 0
151: Somalia, daily cases: None, daily deaths: None, population: 16,198,132, daily cases ratio: 0, daily deaths ratio: 0
152: Bahamas, daily cases: +16, daily deaths: None, population: 395,852, daily cases ratio: 40.4191465497206, daily deaths ratio: 0
153: Aruba, daily cases: +48, daily deaths: None, population: 107,081, daily cases ratio: 448.25879474416564, daily deaths ratio: 0
154: Togo, daily cases: +96, daily deaths: None, population: 8,412,461, daily cases ratio: 11.411642799889353, daily deaths ratio: 0
155: Trinidad and Tobago, daily cases: +6, daily deaths: None, population: 1,402,642, daily cases ratio: 4.277641764612781, daily deaths ratio: 0
156: Martinique, daily cases: None, daily deaths: None, population: 375,062, daily cases ratio: 0, daily deaths ratio: 0
157: Nicaragua, daily cases: None, daily deaths: None, population: 6,679,195, daily cases ratio: 0, daily deaths ratio: 0
158: Benin, daily cases: None, daily deaths: None, population: 12,341,752, daily cases ratio: 0, daily deaths ratio: 0
159: Equatorial Guinea, daily cases: None, daily deaths: None, population: 1,434,598, daily cases ratio: 0, daily deaths ratio: 0
160: Djibouti, daily cases: +2, daily deaths: None, population: 997,948, daily cases ratio: 2.0041124387242624, daily deaths ratio: 0
161: Iceland, daily cases: +2, daily deaths: None, population: 342,782, daily cases ratio: 5.834612085815475, daily deaths ratio: 0
162: CAR, daily cases: None, daily deaths: None, population: 4,887,826, daily cases ratio: 0, daily deaths ratio: 0
163: Curaçao, daily cases: +45, daily deaths: None, population: 164,560, daily cases ratio: 273.45649003403014, daily deaths ratio: 0
164: Gambia, daily cases: +88, daily deaths: None, population: 2,463,350, daily cases ratio: 35.723709582479145, daily deaths ratio: 0
165: Niger, daily cases: None, daily deaths: None, population: 24,806,536, daily cases ratio: 0, daily deaths ratio: 0
166: Gibraltar, daily cases: +4, daily deaths: None, population: 33,684, daily cases ratio: 118.7507421921387, daily deaths ratio: 0
167: San Marino, daily cases: +33, daily deaths: None, population: 33,981, daily cases ratio: 971.130926105765, daily deaths ratio: 0
168: Channel Islands, daily cases: None, daily deaths: None, population: 174,975, daily cases ratio: 0, daily deaths ratio: 0
169: Sierra Leone, daily cases: +2, daily deaths: None, population: 8,088,973, daily cases ratio: 0.2472501762584694, daily deaths ratio: 0
170: Mongolia, daily cases: +103, daily deaths: None, population: 3,314,815, daily cases ratio: 31.072623962423243, daily deaths ratio: 0
171: Comoros, daily cases: +3, daily deaths: None, population: 882,383, daily cases ratio: 3.3998841772790276, daily deaths ratio: 0
172: Barbados, daily cases: +19, daily deaths: None, population: 287,620, daily cases ratio: 66.05938390932481, daily deaths ratio: 0
173: Seychelles, daily cases: +41, daily deaths: None, population: 98,770, daily cases ratio: 415.10580135668727, daily deaths ratio: 0
174: Eritrea, daily cases: +29, daily deaths: None, population: 3,580,417, daily cases ratio: 8.099615212417994, daily deaths ratio: 0
175: Liechtenstein, daily cases: +5, daily deaths: None, population: 38,204, daily cases ratio: 130.87634802638465, daily deaths ratio: 0
176: Vietnam, daily cases: +17, daily deaths: None, population: 97,946,595, daily cases ratio: 0.17356397126413636, daily deaths ratio: 0
177: Burundi, daily cases: +24, daily deaths: None, population: 12,134,068, daily cases ratio: 1.9779022171294902, daily deaths ratio: 0
178: New Zealand, daily cases: +1, daily deaths: None, population: 5,002,100 , daily cases ratio: 0.1999160352651886, daily deaths ratio: 0
179: Turks and Caicos, daily cases: None, daily deaths: None, population: 39,080, daily cases ratio: 0, daily deaths ratio: 0
180: Sint Maarten, daily cases: +4, daily deaths: None, population: 43,214, daily cases ratio: 92.56259545517656, daily deaths ratio: 0
181: Sao Tome and Principe, daily cases: +22, daily deaths: None, population: 221,971, daily cases ratio: 99.11204616819313, daily deaths ratio: 0
182: Liberia, daily cases: +4, daily deaths: None, population: 5,139,613, daily cases ratio: 0.7782687140062879, daily deaths ratio: 0
183: Papua New Guinea, daily cases: None, daily deaths: None, population: 9,064,111, daily cases ratio: 0, daily deaths ratio: 0
184: St. Vincent Grenadines, daily cases: None, daily deaths: None, population: 111,185, daily cases ratio: 0, daily deaths ratio: 0
185: Saint Martin, daily cases: +28, daily deaths: None, population: 39,122, daily cases ratio: 715.7098307857472, daily deaths ratio: 0
186: Cambodia, daily cases: +62, daily deaths: None, population: 16,879,226, daily cases ratio: 3.6731542074263355, daily deaths ratio: 0
187: Taiwan, daily cases: +6, daily deaths: None, population: 23,846,797, daily cases ratio: 0.2516061171653367, daily deaths ratio: 0
188: Antigua and Barbuda, daily cases: +8, daily deaths: None, population: 98,492, daily cases ratio: 81.22487105551721, daily deaths ratio: 0
189: Bhutan, daily cases: None, daily deaths: None, population: 777,501, daily cases ratio: 0, daily deaths ratio: 0
190: Bermuda, daily cases: None, daily deaths: None, population: 62,117, daily cases ratio: 0, daily deaths ratio: 0
191: Diamond Princess, daily cases: None, daily deaths: None, population:  , daily cases ratio: 0, daily deaths ratio: 0
192: St. Barth, daily cases: +58, daily deaths: None, population: 9,898, daily cases ratio: 5859.769650434431, daily deaths ratio: 0
193: Mauritius, daily cases: +43, daily deaths: None, population: 1,273,238, daily cases ratio: 33.772161999563316, daily deaths ratio: 0
194: Caribbean Netherlands, daily cases: +30, daily deaths: None, population: 26,392, daily cases ratio: 1136.7080933616248, daily deaths ratio: 0
195: Faeroe Islands, daily cases: None, daily deaths: None, population: 48,992, daily cases ratio: 0, daily deaths ratio: 0
196: Tanzania, daily cases: None, daily deaths: None, population: 60,903,854, daily cases ratio: 0, daily deaths ratio: 0
197: Cayman Islands, daily cases: +5, daily deaths: None, population: 66,257, daily cases ratio: 75.46372458759073, daily deaths ratio: 0
198: Brunei , daily cases: None, daily deaths: None, population: 440,386, daily cases ratio: 0, daily deaths ratio: 0
199: Timor-Leste, daily cases: +11, daily deaths: None, population: 1,335,793, daily cases ratio: 8.234808836399052, daily deaths ratio: 0
200: Dominica, daily cases: +5, daily deaths: None, population: 72,110, daily cases ratio: 69.33851060879212, daily deaths ratio: 0
201: British Virgin Islands, daily cases: None, daily deaths: None, population: 30,371, daily cases ratio: 0, daily deaths ratio: 0
202: Grenada, daily cases: None, daily deaths: None, population: 112,886, daily cases ratio: 0, daily deaths ratio: 0
203: Wallis and Futuna, daily cases: +17, daily deaths: None, population: 11,101, daily cases ratio: 1531.3935681470139, daily deaths ratio: 0
204: New Caledonia, daily cases: +7, daily deaths: None, population: 287,403, daily cases ratio: 24.356043604276923, daily deaths ratio: 0
205: Fiji, daily cases: None, daily deaths: None, population: 900,958, daily cases ratio: 0, daily deaths ratio: 0
206: Falkland Islands, daily cases: None, daily deaths: None, population: 3,550, daily cases ratio: 0, daily deaths ratio: 0
207: Macao, daily cases: None, daily deaths: None, population: 655,466, daily cases ratio: 0, daily deaths ratio: 0
208: Laos, daily cases: None, daily deaths: None, population: 7,348,660, daily cases ratio: 0, daily deaths ratio: 0
209: Saint Kitts and Nevis, daily cases: None, daily deaths: None, population: 53,460, daily cases ratio: 0, daily deaths ratio: 0
210: Greenland, daily cases: None, daily deaths: None, population: 56,839, daily cases ratio: 0, daily deaths ratio: 0
211: Vatican City, daily cases: None, daily deaths: None, population: 802, daily cases ratio: 0, daily deaths ratio: 0
212: Saint Pierre Miquelon, daily cases: None, daily deaths: None, population: 5,774, daily cases ratio: 0, daily deaths ratio: 0
213: Montserrat, daily cases: None, daily deaths: None, population: 4,994, daily cases ratio: 0, daily deaths ratio: 0
214: Anguilla, daily cases: None, daily deaths: None, population: 15,096, daily cases ratio: 0, daily deaths ratio: 0
215: Solomon Islands, daily cases: None, daily deaths: None, population: 698,488, daily cases ratio: 0, daily deaths ratio: 0
216: Western Sahara, daily cases: None, daily deaths: None, population: 607,456, daily cases ratio: 0, daily deaths ratio: 0
